feature_id,pepmass,LipidClass,compound_class,coraldb_compound_name
21859,818.6048,PC,Glycerophosphocholines,PC(O-36:3;O3) [M+H]+
21549,778.5743,PC,Unknown,NA
18966,790.5742,PC,Unknown,PC(O-38:7) [M+H]+
22183,812.6168,PC,Glycerophosphocholines,PC(38:3) / PC(38:4;O) [M+H]+
22382,793.622,PC,Phosphosphingolipids,SM(41:5;O2) [M+H]+
23990,894.4847,PC,Unknown,NA
10098,732.4971,PC,Glycerophosphocholines,PC(O-34:8) [M+H]+
22829,810.6027,PC,Glycerophosphocholines,PC(38:4) / PC(38:5;O) [M+H]+
9546,566.4184,PC,Lyso-PC(acyl),Lyso-PC(21:0) [M+H]+
18235,750.5462,PC,Glycerophosphocholines,NA
23315,850.6361,PC,Glycerophosphocholines,NA
14764,826.5953,PC,Glycerophosphocholines,PC(O-38:5;O2) [M+H]+
22608,758.51,PC,Unknown,NA
15750,786.5966,PC,Glycerophosphocholines,PC(36:2) [M+H]+
3465,483.4081,PC,NA,NA
2259,536.3342,PC,Oxidized glycerophospholipids,NA
30129,868.6806,PC,Glycerophosphocholines,NA
15734,782.5711,PC,Glycerophosphocholines,PC(36:4) / PC(O-36:5;O) [M+H]+
18689,752.5602,PC,Unknown,NA
14197,826.5958,PC,Glycerophosphocholines,PC(O-38:5;O2) [M+H]+
26306,824.649,PC,Glycerophosphocholines,PC(O-20:0/20:4) [M+H]+
29289,892.6789,PC,Glycerophosphocholines,NA
8103,578.4192,PC,Lyso-PC(acyl),Lyso-PC(22:1) [M+H]+
12732,800.5819,PC,Glycerophosphocholines,PC(O-36:4;O2) [M+H]+
15389,926.6308,PC,Unknown,NA
29385,788.6545,PC,Glycerophosphocholines,PC(O-37:1) [M+H]+
9214,756.499,PC,Glycerophosphocholines,NA
11542,818.593,PC,Unknown,PC(O-36:3;O3) [M+H]+
13505,810.6009,PC,Glycerophosphocholines,PC(38:4) / PC(38:5;O) [M+H]+
24382,812.6159,PC,Unknown,PC(38:3) / PC(38:4;O) [M+H]+
17088,780.5517,PC,Unknown,PC(36:5) [M+H]+
16218,804.5544,PC,Unknown,PC(38:7) [M+H]+
21014,767.6082,PC,Phosphosphingolipids,SM(39:4;O2) [M+H]+
18226,740.5592,PC,Unknown,PC(O-34:4) [M+H]+
9974,758.5341,PC,Glycerophosphocholines,NA
25111,990.6945,PC,Glycerophosphocholines,NA
20882,900.647,PC,Glycerophosphocholines,NA
29686,1022.7583,PC,Unknown,NA
6289,776.5062,PC,Oxidized glycerophospholipids,NA
20100,716.558,PC,Glycerophosphocholines,PC(O-32:2) [M+H]+
2133,508.34,PC,Lyso-PC(acyl),Lyso-PC(17:1) [M+H]+
7190,552.403,PC,Lyso-PC(acyl),Lyso-PC(20:0) [M+H]+
10524,692.5235,PC,Glycerophosphocholines,PC(29:0) [M+H]+
30837,844.6832,PC,Glycerophosphocholines,PC(40:1) [M+H]+
27989,890.664,PC,Unknown,NA
14589,782.5706,PC,Glycerophosphocholines,PC(36:4) / PC(O-36:5;O) [M+H]+
27084,762.6286,PC,Unknown,NA
26765,788.5569,PC,Glycerophosphocholines,PC(O-38:8) [M+H]+
14909,844.6453,PC,Glycerophosphocholines,NA
27296,823.6708,PC,Unknown,SM(43:4;O2) [M+H]+
3750,822.5295,PC,Oxidized glycerophospholipids,NA
2916,550.3512,PC,Oxidized Lyso-PC(acyl),Lyso-PC(19:2;O) [M+H]+
16488,678.5079,PC,Glycerophosphocholines,PC(28:0) [M+H]+
5758,748.5139,PC,Oxidized glycerophospholipids,NA
24211,706.5737,PC,Glycerophosphocholines,PC(O-31:0) [M+H]+
24797,806.6026,PC,Glycerophosphocholines,PC(O-39:6) [M+H]+
25937,776.6201,PC,Glycerophosphocholines,NA
